Nation,Rank,Overall,Attack,Midfield,Defence,HomeStadium,RivalTeam,InternationalPrestige,Starting11AverageAge,WholeTeamAverageAge,Captain,ShortFreeKick,LongFreeKick,Penalties,LeftCorner,RightCorner,BuildUpPlay_Speed,BuildUpPlay_Dribbling,BuildUpPlay_Passing,BuildUpPlay_Positioning,ChanceCreation_Passing,ChanceCreation_Crossing,ChanceCreation_Shooting,ChanceCreation_Positioning,Defence_Pressure,Defence_Aggression,Defence_TeamWidth,Defence_DefenderLine
Croatia,20,80,81,82,78,KaliningradStadium,Serbia,6,28.55,25.76,L.Modrić,I.Rakitić,L.Modrić,L.Modrić,I.Rakitić,I.Rakitić,51,58,51,Organised,52,58,58,Organised,49,52,58,Cover
Iceland,22,75,75,78,74,RostovArena,Denmark,2,28.82,26.53,A.Gunnarsson,G.Sigurðsson,G.Sigurðsson,G.Sigurðsson,G.Sigurðsson,G.Sigurðsson,49,56,52,Organised,70,56,44,Organised,43,70,44,Cover
Nigeria,48,75,75,76,72,VolgogradArena,Argentina,4,24.73,24.35,J.Mikel,V.Moses,V.Moses,V.Moses,V.Moses,V.Moses,68,75,71,Organised,79,55,74,Organised,58,75,65,Cover
Brazil,2,86,87,85,84,RostovArena,Argentina,10,25.91,27.43,Marcelo,Neymar,RenatoAugusto,Neymar,Neymar,Marcelo,51,73,50,Organised,39,33,67,Organised,76,73,63,Cover
Costa Rica,23,73,69,73,73,SamaraArena,Panama,3,29.27,28.58,K.Navas,B.Ruíz,B.Ruíz,B.Ruíz,B.Ruíz,B.Ruíz,49,36,52,Organised,50,76,39,Organised,43,50,39,Cover
Serbia,34,78,76,81,78,KaliningradStadium,Croatia,6,28.18,25.45,A.Kolarov,A.Kolarov,A.Kolarov,A.Kolarov,A.Kolarov,A.Kolarov,50,32,52,Organised,56,32,44,Organised,44,56,44,Cover
Switzerland,6,78,76,77,78,NizhnyNovgorodStadium,Germany,5,25.55,25.47,S.Lichtsteiner,R.Rodríguez,R.Rodríguez,R.Rodríguez,R.Rodríguez,R.Rodríguez,53,55,53,Organised,59,55,60,Organised,46,59,60,Cover
Germany,1,86,85,85,85,LuzhnikiStadium,England,10,26.55,24.95,M.Neuer,T.Kroos,T.Kroos,T.Müller,T.Kroos,M.Özil,28,54,34,Organised,20,40,26,Free Form,66,60,60,Cover
Mexico,15,79,81,79,77,EkaterinburgArena,Brazil,7,27.36,27.6,H.Moreno,M.Fabián,A.Guardado,J.Hernández,A.Guardado,A.Guardado,40,24,40,Organised,40,60,60,Free Form,68,60,40,Cover
South Korea,57,73,71,74,70,RostovArena,Japan,5,26.82,26.18,KiSungYueng,KiSungYueng,KimJinSu,SonHeungMin,GoYoHan,GoYoHan,50,77,49,Organised,43,77,66,Free Form,44,43,66,Cover
Sweden,24,77,78,76,77,NizhnyNovgorodStadium,Denmark,5,28.36,26.24,A.Granqvist,E.Forsberg,E.Forsberg,M.Berg,E.Forsberg,E.Forsberg,53,55,52,Organised,59,55,54,Organised,66,65,35,Cover
Belgium,3,83,85,83,83,FishtStadium,France,7,26.91,26.72,E.Hazard,K.DeBruyne,K.DeBruyne,E.Hazard,K.DeBruyne,K.DeBruyne,36,50,36,Organised,36,66,56,Free Form,75,66,36,Cover
England,12,81,83,81,80,NizhnyNovgorodStadium,Germany,8,23.82,25.88,H.Kane,E.Dier,E.Dier,H.Kane,M.Rashford,M.Rashford,36,20,39,Organised,31,41,41,Organised,43,55,49,Cover
Panama,55,69,68,69,69,MordoviaArena,CostaRica,1,30.73,26.58,F.Baloy,G.Torres,A.Godoy,G.Torres,A.Godoy,A.Godoy,49,31,50,Organised,37,31,47,Organised,74,71,61,Cover
Tunisia,21,73,73,72,72,VolgogradArena,England,3,27,26.38,A.Mathlouthi,W.Khazri,W.Khazri,W.Khazri,W.Khazri,W.Khazri,72,75,68,Organised,79,35,79,Free Form,44,69,49,Cover
Colombia,16,79,82,78,78,MordoviaArena,Argentina,7,27.45,26.93,J.Rodríguez,J.Rodríguez,J.Rodríguez,J.Rodríguez,J.Rodríguez,J.Rodríguez,68,45,66,Organised,71,45,73,Organised,48,41,63,Cover
Japan,61,75,76,78,73,EkaterinburgArena,England,5,28.73,26.85,S.Kagawa,K.Honda,S.Okazaki,S.Okazaki,S.Kagawa,S.Kagawa,70,65,69,Organised,61,65,80,Organised,66,55,35,Cover
Poland,8,80,83,78,78,SpartakStadium,Germany,5,27.27,26.1,W.Szczęsny,P.Zieliński,P.Zieliński,P.Zieliński,P.Zieliński,M.Rybus,49,56,52,Free Form,52,56,34,Free Form,46,32,34,Cover
Senegal,27,76,77,77,76,SamaraArena,France,7,26.09,26.05,C.Kouyaté,S.Mané,S.Mané,S.Mané,Y.Sabaly,L.Gassama,51,53,51,Organised,59,53,48,Organised,48,59,48,Cover
