Country,player_cap,Coach,player_pos,player_name
Spain,7,Fernando Hierro,FW,Lucas Vazquez
Spain,4,Fernando Hierro,DF,Alvaro Odriozola
Spain,1,Fernando Hierro,GK,Kepa Arrizabalaga
Spain,22,Fernando Hierro,DF,Cesar Azpilicueta
Spain,152,Fernando Hierro,DF,Sergio Ramos
Spain,22,Fernando Hierro,DF,Nacho Monreal
Spain,10,Fernando Hierro,FW,Iago Aspas
Spain,62,Fernando Hierro,DF,Jordi Alba
Spain,20,Fernando Hierro,FW,Diego Costa
Spain,12,Fernando Hierro,MF,Marco Asensio
Spain,121,Fernando Hierro,FW,David Silva
Spain,28,Fernando Hierro,MF,Isco
Spain,36,Fernando Hierro,GK,Pepe Reina
Australia,44,Bert van Marwijk,GK,Mathew Ryan
Australia,18,Bert van Marwijk,DF,Milos Degenek
Australia,2,Bert van Marwijk,DF,James Meredith
Australia,106,Bert van Marwijk,FW,Tim Cahill
Australia,71,Bert van Marwijk,DF,Mark Milligan
Australia,4,Bert van Marwijk,DF,Matthew Jurman
Australia,53,Bert van Marwijk,FW,Mathew Leckie
Australia,36,Bert van Marwijk,MF,Massimo Luongo
Australia,35,Bert van Marwijk,FW,Tomi Juric
Australia,64,Bert van Marwijk,FW,Robbie Kruse
Australia,4,Bert van Marwijk,FW,Andrew Nabbout
Australia,6,Bert van Marwijk,GK,Brad Jones
Australia,34,Bert van Marwijk,MF,Aaron Mooy
Australia,6,Bert van Marwijk,FW,Jamie Maclaren
Australia,76,Bert van Marwijk,MF,Mile Jedinak
Australia,23,Bert van Marwijk,DF,Aziz Behich
Australia,2,Bert van Marwijk,FW,Daniel Arzani
Australia,1,Bert van Marwijk,GK,Danny Vukovic
Australia,8,Bert van Marwijk,DF,Josh Risdon
Australia,35,Bert van Marwijk,DF,Trent Sainsbury
Australia,2,Bert van Marwijk,FW,Dimitri Petratos
Australia,19,Bert van Marwijk,MF,Jackson Irvine
Australia,37,Bert van Marwijk,MF,Tom Rogic
Denmark,35,Age Hareide,GK,Kasper Schmeichel
Denmark,59,Age Hareide,MF,Michael Krohn-Dehli
Denmark,16,Age Hareide,DF,Jannik Vestergaard
Denmark,78,Age Hareide,DF,Simon Kjaer
Denmark,3,Age Hareide,DF,Jonas Knudsen
Denmark,16,Age Hareide,DF,Andreas Christensen
Denmark,80,Age Hareide,MF,William Kvist
Denmark,27,Age Hareide,MF,Thomas Delaney
Denmark,31,Age Hareide,FW,Nicolai Jorgensen
Denmark,78,Age Hareide,MF,Christian Eriksen
Denmark,20,Age Hareide,FW,Martin Braithwaite
Denmark,6,Age Hareide,FW,Kasper Dolberg
Denmark,12,Age Hareide,DF,Mathias Jorgensen
Denmark,11,Age Hareide,DF,Henrik Dalsgaard
Denmark,19,Age Hareide,FW,Viktor Fischer
Denmark,1,Age Hareide,GK,Jonas Lossl
Denmark,13,Age Hareide,DF,Jens Stryger Larsen
Denmark,4,Age Hareide,MF,Lukas Lerager
Denmark,36,Age Hareide,MF,Lasse Schone
Denmark,28,Age Hareide,FW,Yussuf Poulsen
Denmark,18,Age Hareide,FW,Andreas Cornelius
Denmark,6,Age Hareide,GK,Frederik Ronnow
Denmark,14,Age Hareide,FW,Pione Sisto
France,98,Didier Deschamps,GK,Hugo Lloris
France,6,Didier Deschamps,DF,Benjamin Pavard
France,2,Didier Deschamps,DF,Presnel Kimpembe
France,42,Didier Deschamps,DF,Raphael Varane
France,19,Didier Deschamps,DF,Samuel Umtiti
France,54,Didier Deschamps,MF,Paul Pogba
France,54,Didier Deschamps,FW,Antoine Griezmann
France,12,Didier Deschamps,FW,Thomas Lemar
France,74,Didier Deschamps,FW,Olivier Giroud
France,15,Didier Deschamps,FW,Kylian Mbappe
France,12,Didier Deschamps,FW,Ousmane Dembele
France,9,Didier Deschamps,MF,Corentin Tolisso
France,24,Didier Deschamps,MF,N'Golo Kante
France,67,Didier Deschamps,MF,Blaise Matuidi
France,4,Didier Deschamps,MF,Steven Nzonzi
France,27,Didier Deschamps,GK,Steve Mandanda
France,35,Didier Deschamps,DF,Adil Rami
France,12,Didier Deschamps,FW,Nabil Fekir
France,17,Didier Deschamps,DF,Djibril Sidibe
France,4,Didier Deschamps,FW,Florian Thauvin
France,5,Didier Deschamps,DF,Lucas Hernandez
France,7,Didier Deschamps,DF,Benjamin Mendy
France,0,Didier Deschamps,GK,Alphonse Areola
Peru,38,Ricardo Gareca,GK,Pedro Gallese
Peru,59,Ricardo Gareca,DF,Alberto Rodriguez
Peru,25,Ricardo Gareca,DF,Aldo Corzo
Peru,4,Ricardo Gareca,DF,Anderson Santamaria
Peru,7,Ricardo Gareca,DF,Miguel Araujo
Peru,27,Ricardo Gareca,DF,Miguel Trauco
Peru,31,Ricardo Gareca,MF,Paolo Hurtado
Peru,44,Ricardo Gareca,MF,Christian Cueva
Peru,88,Ricardo Gareca,FW,Paolo Guerrero
Peru,84,Ricardo Gareca,FW,Jefferson Farfan
Peru,30,Ricardo Gareca,FW,Raul Ruidiaz
Peru,4,Ricardo Gareca,GK,Carlos Caceda
Peru,23,Ricardo Gareca,MF,Renato Tapia
Peru,17,Ricardo Gareca,MF,Andy Polo
Peru,66,Ricardo Gareca,DF,Christian Ramos
Peru,3,Ricardo Gareca,MF,Wilder Cartagena
Peru,65,Ricardo Gareca,DF,Luis Advincula
Peru,45,Ricardo Gareca,FW,Andre Carrillo
Peru,73,Ricardo Gareca,MF,Yoshimar Yotun
Peru,29,Ricardo Gareca,FW,Edison Flores
Peru,6,Ricardo Gareca,GK,Jose Carvallo
Peru,3,Ricardo Gareca,DF,Nilson Loyola
Peru,13,Ricardo Gareca,MF,Pedro Aquino
Argentina,6,Jorge Sampaoli,GK,Nahuel Guzman
Argentina,20,Jorge Sampaoli,DF,Gabriel Mercado
Argentina,4,Jorge Sampaoli,DF,Nicolas Tagliafico
Argentina,5,Jorge Sampaoli,DF,Cristian Ansaldi
Argentina,57,Jorge Sampaoli,MF,Lucas Biglia
Argentina,9,Jorge Sampaoli,DF,Federico Fazio
Argentina,62,Jorge Sampaoli,MF,Ever Banega
Argentina,10,Jorge Sampaoli,DF,Marcos Acuna
Argentina,71,Jorge Sampaoli,FW,Gonzalo Higuain
Argentina,124,Jorge Sampaoli,FW,Lionel Messi
Argentina,94,Jorge Sampaoli,MF,Angel Di Maria
Argentina,0,Jorge Sampaoli,GK,Franco Armani
Argentina,2,Jorge Sampaoli,MF,Maximiliano Meza
Argentina,143,Jorge Sampaoli,DF,Javier Mascherano
Argentina,23,Jorge Sampaoli,MF,Enzo Perez
Argentina,56,Jorge Sampaoli,DF,Marcos Rojo
Argentina,54,Jorge Sampaoli,DF,Nicolas Otamendi
Argentina,9,Jorge Sampaoli,DF,Eduardo Salvio
Argentina,85,Jorge Sampaoli,FW,Sergio Aguero
Argentina,5,Jorge Sampaoli,MF,Giovani Lo Celso
Argentina,12,Jorge Sampaoli,FW,Paulo Dybala
Argentina,5,Jorge Sampaoli,MF,Cristian Pavon
Argentina,3,Jorge Sampaoli,GK,Willy Caballero
Croatia,1,Zlatko Dalic,GK,Dominik Livakovic
Croatia,35,Zlatko Dalic,DF,Sime Vrsaljko
Croatia,43,Zlatko Dalic,DF,Ivan Strinic
Croatia,66,Zlatko Dalic,FW,Ivan Perisic
Croatia,99,Zlatko Dalic,DF,Vedran Corluka
Croatia,39,Zlatko Dalic,DF,Dejan Lovren
Croatia,92,Zlatko Dalic,MF,Ivan Rakitic
Croatia,41,Zlatko Dalic,MF,Mateo Kovacic
Croatia,31,Zlatko Dalic,FW,Andrej Kramaric
Croatia,106,Zlatko Dalic,MF,Luka Modric
Croatia,35,Zlatko Dalic,MF,Marcelo Brozovic
Croatia,11,Zlatko Dalic,GK,Lovre Kalinic
Croatia,12,Zlatko Dalic,DF,Tin Jedvaj
Croatia,4,Zlatko Dalic,MF,Filip Bradaric
Croatia,1,Zlatko Dalic,DF,Duje Caleta-Car
Croatia,42,Zlatko Dalic,FW,Nikola Kalinic
Croatia,83,Zlatko Dalic,FW,Mario Mandzukic
Croatia,16,Zlatko Dalic,FW,Ante Rebic
Croatia,38,Zlatko Dalic,MF,Milan Badelj
Croatia,16,Zlatko Dalic,FW,Marko Pjaca
Croatia,59,Zlatko Dalic,DF,Domagoj Vida
Croatia,19,Zlatko Dalic,DF,Josip Pivaric
Croatia,38,Zlatko Dalic,GK,Danijel Subasic
Iceland,49,Heimir Hallgrimsson,GK,Hannes Thor Halldorsson
Iceland,79,Heimir Hallgrimsson,DF,Birkir Mar Saevarsson
Iceland,4,Heimir Hallgrimsson,MF,Samuel Fridjonsson
Iceland,5,Heimir Hallgrimsson,MF,Albert Gudmundsson
Iceland,20,Heimir Hallgrimsson,DF,Sverrir Ingi Ingason
Iceland,77,Heimir Hallgrimsson,DF,Ragnar Sigurdsson
Iceland,67,Heimir Hallgrimsson,MF,Johann Berg Gudmundsson
Iceland,67,Heimir Hallgrimsson,MF,Birkir Bjarnason
Iceland,12,Heimir Hallgrimsson,FW,Bjorn Bergmann Sigurdarson
Iceland,57,Heimir Hallgrimsson,MF,Gylfi Sigurdsson
Iceland,47,Heimir Hallgrimsson,FW,Alfred Finnbogason
Iceland,4,Heimir Hallgrimsson,GK,Frederik Schram
Iceland,3,Heimir Hallgrimsson,GK,Runar Alex Runarsson
Iceland,67,Heimir Hallgrimsson,DF,Kari Arnason
Iceland,10,Heimir Hallgrimsson,DF,Holmar Orn Eyjolfsson
Iceland,36,Heimir Hallgrimsson,MF,Olafur Ingi Skulason
Iceland,77,Heimir Hallgrimsson,MF,Aron Gunnarsson
Iceland,16,Heimir Hallgrimsson,DF,Hordur Bjorgvin Magnusson
Iceland,47,Heimir Hallgrimsson,MF,Rurik Gislason
Iceland,64,Heimir Hallgrimsson,MF,Emil Hallfredsson
Iceland,19,Heimir Hallgrimsson,MF,Arnor Ingvi Traustason
Iceland,38,Heimir Hallgrimsson,FW,Jon Dadi Bodvarsson
Iceland,56,Heimir Hallgrimsson,DF,Ari Freyr Skulason
Nigeria,24,Gernot Rohr,GK,Ikechukwu Ezenwa
Nigeria,5,Gernot Rohr,DF,Brian Idowu
Nigeria,62,Gernot Rohr,DF,Elderson Echiejile
Nigeria,17,Gernot Rohr,MF,Wilfred Ndidi
Nigeria,22,Gernot Rohr,DF,William Troost-Ekong
Nigeria,19,Gernot Rohr,DF,Leon Balogun
Nigeria,72,Gernot Rohr,FW,Ahmed Musa
Nigeria,14,Gernot Rohr,MF,Oghenekaro Etebo
Nigeria,19,Gernot Rohr,FW,Odion Ighalo
Nigeria,85,Gernot Rohr,MF,John Obi Mikel
Nigeria,34,Gernot Rohr,FW,Victor Moses
Nigeria,25,Gernot Rohr,DF,Shehu Abdullahi
Nigeria,2,Gernot Rohr,FW,Simeon Nwankwo
Nigeria,18,Gernot Rohr,FW,Kelechi Iheanacho
Nigeria,17,Gernot Rohr,MF,Joel Obi
Nigeria,7,Gernot Rohr,GK,Daniel Akpeyi
Nigeria,52,Gernot Rohr,MF,Ogenyi Onazi
Nigeria,19,Gernot Rohr,FW,Alex Iwobi
Nigeria,20,Gernot Rohr,MF,John Ogu
Nigeria,4,Gernot Rohr,DF,Chidozie Awaziem
Nigeria,7,Gernot Rohr,DF,Tyronne Ebuehi
Nigeria,39,Gernot Rohr,DF,Kenneth Omeruo
Nigeria,6,Gernot Rohr,GK,Francis Uzoho
Brazil,26,Tite,GK,Alisson
Brazil,71,Tite,DF,Thiago Silva
Brazil,47,Tite,DF,Miranda
Brazil,2,Tite,DF,Pedro Geromel
Brazil,24,Tite,MF,Casemiro
Brazil,33,Tite,DF,Filipe Luis
Brazil,25,Tite,FW,Douglas Costa
Brazil,28,Tite,MF,Renato Augusto
Brazil,17,Tite,FW,Gabriel Jesus
Brazil,85,Tite,FW,Neymar
Brazil,37,Tite,MF,Philippe Coutinho
Brazil,54,Tite,DF,Marcelo
Brazil,26,Tite,DF,Marquinhos
Brazil,18,Tite,DF,Danilo
Brazil,50,Tite,MF,Paulinho
Brazil,1,Tite,GK,Cassio
Brazil,44,Tite,MF,Fernandinho
Brazil,8,Tite,MF,Fred
Brazil,57,Tite,MF,Willian
Brazil,21,Tite,FW,Roberto Firmino
Brazil,8,Tite,FW,Taison
Brazil,4,Tite,DF,Fagner
Brazil,1,Tite,GK,Ederson
Costa Rica,81,Oscar Ramirez,GK,Keylor Navas
Costa Rica,69,Oscar Ramirez,DF,Johnny Acosta
Costa Rica,70,Oscar Ramirez,DF,Giancarlo Gonzalez
Costa Rica,4,Oscar Ramirez,DF,Ian Smith
Costa Rica,113,Oscar Ramirez,MF,Celso Borges
Costa Rica,39,Oscar Ramirez,DF,Oscar Duarte
Costa Rica,81,Oscar Ramirez,MF,Christian Bolanos
Costa Rica,44,Oscar Ramirez,DF,Bryan Oviedo
Costa Rica,11,Oscar Ramirez,MF,Daniel Colindres
Costa Rica,110,Oscar Ramirez,MF,Bryan Ruiz
Costa Rica,47,Oscar Ramirez,FW,Johan Venegas
Costa Rica,77,Oscar Ramirez,FW,Joel Campbell
Costa Rica,30,Oscar Ramirez,MF,Rodney Wallace
Costa Rica,58,Oscar Ramirez,MF,Randall Azofeifa
Costa Rica,38,Oscar Ramirez,DF,Francisco Calvo
Costa Rica,68,Oscar Ramirez,DF,Cristian Gamboa
Costa Rica,51,Oscar Ramirez,MF,Yeltsin Tejeda
Costa Rica,39,Oscar Ramirez,GK,Patrick Pemberton
Costa Rica,26,Oscar Ramirez,DF,Kendall Waston
Costa Rica,43,Oscar Ramirez,MF,David Guzman
Costa Rica,64,Oscar Ramirez,FW,Marco Urena
Costa Rica,23,Oscar Ramirez,DF,Ronald Matarrita
Costa Rica,9,Oscar Ramirez,GK,Leonel Moreira
Serbia,81,Mladen Krstajic,GK,Vladimir Stojkovic
Serbia,47,Mladen Krstajic,DF,Antonio Rukavina
Serbia,24,Mladen Krstajic,DF,Dusko Tosic
Serbia,28,Mladen Krstajic,MF,Luka Milivojevic
Serbia,5,Mladen Krstajic,DF,Uros Spajic
Serbia,103,Mladen Krstajic,DF,Branislav Ivanovic
Serbia,10,Mladen Krstajic,MF,Andrija Zivkovic
Serbia,9,Mladen Krstajic,FW,Aleksandar Prijovic
Serbia,37,Mladen Krstajic,FW,Aleksandar Mitrovic
Serbia,53,Mladen Krstajic,MF,Dusan Tadic
Serbia,76,Mladen Krstajic,DF,Aleksandar Kolarov
Serbia,8,Mladen Krstajic,GK,Predrag Rajkovic
Serbia,2,Mladen Krstajic,DF,Milos Veljkovic
Serbia,1,Mladen Krstajic,DF,Milan Rodic
Serbia,3,Mladen Krstajic,DF,Nikola Milenkovic
Serbia,8,Mladen Krstajic,MF,Marko Grujic
Serbia,23,Mladen Krstajic,MF,Filip Kostic
Serbia,3,Mladen Krstajic,FW,Nemanja Radonjic
Serbia,1,Mladen Krstajic,FW,Luka Jovic
Serbia,4,Mladen Krstajic,MF,Sergej Milinkovic-Savic
Serbia,40,Mladen Krstajic,MF,Nemanja Matic
Serbia,29,Mladen Krstajic,MF,Adem Ljajic
Serbia,2,Mladen Krstajic,GK,Marko Dmitrovic
Switzerland,35,Vladimir Petkovic,GK,Yann Sommer
Switzerland,100,Vladimir Petkovic,DF,Stephan Lichtsteiner
Switzerland,18,Vladimir Petkovic,DF,Francois Moubandje
Switzerland,6,Vladimir Petkovic,DF,Nico Elvedi
Switzerland,7,Vladimir Petkovic,DF,Manuel Akanji
Switzerland,24,Vladimir Petkovic,DF,Michael Lang
Switzerland,25,Vladimir Petkovic,FW,Breel Embolo
Switzerland,10,Vladimir Petkovic,MF,Remo Freuler
Switzerland,51,Vladimir Petkovic,FW,Haris Seferovic
Switzerland,62,Vladimir Petkovic,MF,Granit Xhaka
Switzerland,79,Vladimir Petkovic,MF,Valon Behrami
Switzerland,0,Vladimir Petkovic,GK,Yvon Mvogo
Switzerland,53,Vladimir Petkovic,DF,Ricardo Rodriguez
Switzerland,12,Vladimir Petkovic,MF,Steven Zuber
Switzerland,65,Vladimir Petkovic,MF,Blerim Dzemaili
Switzerland,67,Vladimir Petkovic,MF,Gelson Fernandes
Switzerland,10,Vladimir Petkovic,MF,Denis Zakaria
Switzerland,14,Vladimir Petkovic,FW,Mario Gavranovic
Switzerland,29,Vladimir Petkovic,FW,Josip Drmic
Switzerland,74,Vladimir Petkovic,DF,Johan Djourou
Switzerland,9,Vladimir Petkovic,GK,Roman Burki
Switzerland,39,Vladimir Petkovic,DF,Fabian Schar
Switzerland,70,Vladimir Petkovic,MF,Xherdan Shaqiri
Germany,76,Joachim Low,GK,Manuel Neuer
Germany,6,Joachim Low,DF,Marvin Plattenhardt
Germany,38,Joachim Low,DF,Jonas Hector
Germany,18,Joachim Low,DF,Matthias Ginter
Germany,64,Joachim Low,DF,Mats Hummels
Germany,75,Joachim Low,MF,Sami Khedira
Germany,44,Joachim Low,MF,Julian Draxler
Germany,83,Joachim Low,MF,Toni Kroos
Germany,14,Joachim Low,FW,Timo Werner
Germany,90,Joachim Low,MF,Mesut Ozil
Germany,31,Joachim Low,FW,Marco Reus
Germany,3,Joachim Low,GK,Kevin Trapp
Germany,91,Joachim Low,MF,Thomas Muller
Germany,15,Joachim Low,MF,Leon Goretzka
Germany,11,Joachim Low,DF,Niklas Sule
Germany,24,Joachim Low,DF,Antonio Rudiger
Germany,71,Joachim Low,DF,Jerome Boateng
Germany,29,Joachim Low,DF,Joshua Kimmich
Germany,25,Joachim Low,MF,Sebastian Rudy
Germany,16,Joachim Low,MF,Julian Brandt
