Country,Coach,player_pos,player_name,player_cap
Czech Republic,Michal Bilek,MF,Jaroslav Plasil,75
Czech Republic,Michal Bilek,FW,Vaclav Pilar,13
Czech Republic,Michal Bilek,FW,Milan Baros,93
Czech Republic,Michal Bilek,GK,Jan Lastuvka,1
Czech Republic,Michal Bilek,MF,Tomas Hubschman,47
Czech Republic,Michal Bilek,MF,Daniel Kolar,13
Czech Republic,Michal Bilek,MF,Petr Jiracek,12
Czech Republic,Michal Bilek,FW,Tomas Pekhart,13
Czech Republic,Michal Bilek,FW,David Lafata,19
Czech Republic,Michal Bilek,MF,Vladimir Darida,3
Czech Republic,Michal Bilek,GK,Jaroslav Drobny,6
Netherlands,Bert van Marwijk,GK,Maarten Stekelenburg,50
Netherlands,Bert van Marwijk,DF,Gregory van der Wiel,35
Netherlands,Bert van Marwijk,DF,John Heitinga,80
Netherlands,Bert van Marwijk,DF,Joris Mathijsen,82
Netherlands,Bert van Marwijk,DF,Wilfred Bouma,37
Netherlands,Bert van Marwijk,MF,Mark van Bommel,79
Netherlands,Bert van Marwijk,FW,Dirk Kuyt,90
Netherlands,Bert van Marwijk,MF,Nigel de Jong,63
Netherlands,Bert van Marwijk,FW,Klaas-Jan Huntelaar,56
Netherlands,Bert van Marwijk,MF,Wesley Sneijder,87
Netherlands,Bert van Marwijk,FW,Arjen Robben,60
Netherlands,Bert van Marwijk,GK,Michel Vorm,9
Netherlands,Bert van Marwijk,DF,Ron Vlaar,9
Netherlands,Bert van Marwijk,MF,Stijn Schaars,19
Netherlands,Bert van Marwijk,DF,Jetro Willems,5
Netherlands,Bert van Marwijk,FW,Robin van Persie,68
Netherlands,Bert van Marwijk,MF,Kevin Strootman,11
Netherlands,Bert van Marwijk,FW,Luuk de Jong,7
Netherlands,Bert van Marwijk,FW,Luciano Narsingh,2
Netherlands,Bert van Marwijk,MF,Ibrahim Afellay,41
Netherlands,Bert van Marwijk,DF,Khalid Boulahrouz,35
Netherlands,Bert van Marwijk,GK,Tim Krul,3
Netherlands,Bert van Marwijk,MF,Rafael van der Vaart,99
Denmark,Morten Olsen,GK,Stephan Andersen,13
Denmark,Morten Olsen,MF,Christian Poulsen,92
Denmark,Morten Olsen,DF,Simon Kjaer,27
Denmark,Morten Olsen,DF,Daniel Agger,49
Denmark,Morten Olsen,DF,Simon Poulsen,21
Denmark,Morten Olsen,DF,Lars Jacobsen,53
Denmark,Morten Olsen,MF,William Kvist,31
Denmark,Morten Olsen,MF,Christian Eriksen,26
Denmark,Morten Olsen,FW,Michael Krohn-Dehli,24
Denmark,Morten Olsen,FW,Dennis Rommedahl,118
Denmark,Morten Olsen,FW,Nicklas Bendtner,51
Denmark,Morten Olsen,DF,Andreas Bjelland,6
Denmark,Morten Olsen,DF,Jores Okore,3
Denmark,Morten Olsen,MF,Lasse Schone,12
Denmark,Morten Olsen,MF,Michael Silberbauer,24
Denmark,Morten Olsen,GK,Anders Lindegaard,5
Denmark,Morten Olsen,FW,Nicklas Pedersen,7
Denmark,Morten Olsen,DF,Daniel Wass,6
Denmark,Morten Olsen,MF,Jakob Poulsen,24
Denmark,Morten Olsen,MF,Thomas Kahlenberg,38
Denmark,Morten Olsen,MF,Niki Zimling,14
Denmark,Morten Olsen,GK,Kasper Schmeichel,0
Denmark,Morten Olsen,FW,Tobias Mikkelsen,6
Germany,Joachim Low,GK,Manuel Neuer,31
Germany,Joachim Low,MF,Ilkay Gundogan,2
Germany,Joachim Low,DF,Marcel Schmelzer,6
Germany,Joachim Low,DF,Benedikt Howedes,8
Germany,Joachim Low,DF,Mats Hummels,19
Germany,Joachim Low,MF,Sami Khedira,32
Germany,Joachim Low,MF,Bastian Schweinsteiger,95
Germany,Joachim Low,MF,Mesut Ozil,38
Germany,Joachim Low,MF,Andre Schurrle,16
Germany,Joachim Low,MF,Lukas Podolski,101
Germany,Joachim Low,FW,Miroslav Klose,121
Germany,Joachim Low,GK,Tim Wiese,6
Germany,Joachim Low,MF,Thomas Muller,32
Germany,Joachim Low,DF,Holger Badstuber,25
Germany,Joachim Low,MF,Lars Bender,9
Germany,Joachim Low,DF,Philipp Lahm,91
Germany,Joachim Low,DF,Per Mertesacker,81
Germany,Joachim Low,MF,Toni Kroos,30
Germany,Joachim Low,MF,Mario Gotze,15
Germany,Joachim Low,DF,Jerome Boateng,25
Germany,Joachim Low,MF,Marco Reus,8
Germany,Joachim Low,GK,Ron-Robert Zieler,1
Germany,Joachim Low,FW,Mario Gomez,57
Portugal,Paulo Bento,GK,Eduardo,28
Portugal,Paulo Bento,DF,Bruno Alves,55
Portugal,Paulo Bento,DF,Pepe,44
Portugal,Paulo Bento,MF,Miguel Veloso,29
Portugal,Paulo Bento,DF,Fabio Coentrao,27
Portugal,Paulo Bento,MF,Custodio,4
Portugal,Paulo Bento,FW,Cristiano Ronaldo,95
Portugal,Paulo Bento,MF,Joao Moutinho,48
Portugal,Paulo Bento,FW,Hugo Almeida,44
Portugal,Paulo Bento,FW,Ricardo Quaresma,35
Portugal,Paulo Bento,FW,Nelson Oliveira,7
Portugal,Paulo Bento,GK,Rui Patricio,16
Portugal,Paulo Bento,DF,Ricardo Costa,11
Portugal,Paulo Bento,DF,Rolando,17
Portugal,Paulo Bento,MF,Ruben Micael,8
Portugal,Paulo Bento,MF,Raul Meireles,61
Portugal,Paulo Bento,FW,Nani,59
Portugal,Paulo Bento,FW,Silvestre Varela,9
Portugal,Paulo Bento,DF,Miguel Lopes,1
Portugal,Paulo Bento,MF,Hugo Viana,27
Portugal,Paulo Bento,DF,Joao Pereira,19
Portugal,Paulo Bento,GK,Beto,2
Portugal,Paulo Bento,FW,Helder Postiga,53
Spain,Vicente del Bosque,GK,Iker Casillas,137
Spain,Vicente del Bosque,DF,Raul Albiol,34
Spain,Vicente del Bosque,DF,Gerard Pique,45
Spain,Vicente del Bosque,MF,Javi Martinez,8
Spain,Vicente del Bosque,DF,Juanfran,1
Spain,Vicente del Bosque,MF,Andres Iniesta,71
Spain,Vicente del Bosque,FW,Pedro,18
Spain,Vicente del Bosque,MF,Xavi,115
Spain,Vicente del Bosque,FW,Fernando Torres,98
Spain,Vicente del Bosque,MF,Cesc Fabregas,69
Spain,Vicente del Bosque,FW,Alvaro Negredo,12
Spain,Vicente del Bosque,GK,Victor Valdes,8
Spain,Vicente del Bosque,MF,Juan Mata,19
Spain,Vicente del Bosque,MF,Xabi Alonso,102
Spain,Vicente del Bosque,DF,Sergio Ramos,92
Spain,Vicente del Bosque,MF,Sergio Busquets,45
Spain,Vicente del Bosque,DF,Alvaro Arbeloa,41
Spain,Vicente del Bosque,DF,Jordi Alba,11
Spain,Vicente del Bosque,FW,Fernando Llorente,20
Spain,Vicente del Bosque,MF,Santi Cazorla,45
Spain,Vicente del Bosque,MF,David Silva,64
Spain,Vicente del Bosque,MF,Jesus Navas,20
Spain,Vicente del Bosque,GK,Pepe Reina,25
Italy,Cesare Prandelli,GK,Gianluigi Buffon,120
Italy,Cesare Prandelli,DF,Christian Maggio,19
Italy,Cesare Prandelli,DF,Giorgio Chiellini,55
Italy,Cesare Prandelli,DF,Angelo Ogbonna,3
Italy,Cesare Prandelli,MF,Thiago Motta,13
Italy,Cesare Prandelli,DF,Federico Balzaretti,12
Italy,Cesare Prandelli,DF,Ignazio Abate,5
Italy,Cesare Prandelli,MF,Claudio Marchisio,26
Italy,Cesare Prandelli,FW,Mario Balotelli,14
Italy,Cesare Prandelli,FW,Antonio Cassano,35
Italy,Cesare Prandelli,FW,Antonio Di Natale,42
Italy,Cesare Prandelli,GK,Salvatore Sirigu,2
Italy,Cesare Prandelli,MF,Emanuele Giaccherini,2
Italy,Cesare Prandelli,GK,Morgan De Sanctis,5
Italy,Cesare Prandelli,DF,Andrea Barzagli,33
Italy,Cesare Prandelli,MF,Daniele De Rossi,78
Italy,Cesare Prandelli,FW,Fabio Borini,1
Italy,Cesare Prandelli,MF,Riccardo Montolivo,37
Italy,Cesare Prandelli,DF,Leonardo Bonucci,20
Italy,Cesare Prandelli,FW,Sebastian Giovinco,10
Italy,Cesare Prandelli,MF,Andrea Pirlo,89
Italy,Cesare Prandelli,MF,Alessandro Diamanti,4
Italy,Cesare Prandelli,MF,Antonio Nocerino,13
Republic of Ireland,Giovanni Trapattoni,GK,Shay Given,125
Republic of Ireland,Giovanni Trapattoni,DF,Sean St Ledger,30
Republic of Ireland,Giovanni Trapattoni,DF,Stephen Ward,15
Republic of Ireland,Giovanni Trapattoni,DF,John O'Shea,79
Republic of Ireland,Giovanni Trapattoni,DF,Richard Dunne,76
Republic of Ireland,Giovanni Trapattoni,MF,Glenn Whelan,42
Republic of Ireland,Giovanni Trapattoni,MF,Aiden McGeady,52
Republic of Ireland,Giovanni Trapattoni,MF,Keith Andrews,32
Republic of Ireland,Giovanni Trapattoni,FW,Kevin Doyle,50
Republic of Ireland,Giovanni Trapattoni,FW,Robbie Keane,120
Republic of Ireland,Giovanni Trapattoni,MF,Damien Duff,100
Republic of Ireland,Giovanni Trapattoni,DF,Stephen Kelly,30
Republic of Ireland,Giovanni Trapattoni,DF,Paul McShane,27
Republic of Ireland,Giovanni Trapattoni,FW,Jonathan Walters,10
Republic of Ireland,Giovanni Trapattoni,MF,Darron Gibson,19
Republic of Ireland,Giovanni Trapattoni,GK,Keiren Westwood,10
Republic of Ireland,Giovanni Trapattoni,MF,Stephen Hunt,39
Republic of Ireland,Giovanni Trapattoni,DF,Darren O'Dea,14
Republic of Ireland,Giovanni Trapattoni,FW,Shane Long,27
Republic of Ireland,Giovanni Trapattoni,FW,Simon Cox,15
Republic of Ireland,Giovanni Trapattoni,MF,Paul Green,12
Republic of Ireland,Giovanni Trapattoni,MF,James McClean,3
Republic of Ireland,Giovanni Trapattoni,GK,David Forde,2
Croatia,Slaven Bilic,GK,Stipe Pletikosa,94
Croatia,Slaven Bilic,DF,Ivan Strinic,20
Croatia,Slaven Bilic,DF,Josip Simunic,95
Croatia,Slaven Bilic,DF,Jurica Buljat,2
Croatia,Slaven Bilic,DF,Vedran Corluka,57
Croatia,Slaven Bilic,MF,Danijel Pranjic,45
Croatia,Slaven Bilic,MF,Ivan Rakitic,44
Croatia,Slaven Bilic,MF,Ognjen Vukojevic,42
Croatia,Slaven Bilic,FW,Nikica Jelavic,22
Croatia,Slaven Bilic,MF,Luka Modric,57
Croatia,Slaven Bilic,DF,Darijo Srna,94
Croatia,Slaven Bilic,GK,Ivan Kelava,0
Croatia,Slaven Bilic,DF,Gordon Schildenfeld,15
Croatia,Slaven Bilic,MF,Milan Badelj,4
Croatia,Slaven Bilic,DF,Sime Vrsaljko,4
Croatia,Slaven Bilic,MF,Tomislav Dujmovic,19
Croatia,Slaven Bilic,FW,Mario Mandzukic,32
Croatia,Slaven Bilic,FW,Nikola Kalinic,13
Croatia,Slaven Bilic,MF,Niko Kranjcar,73
Croatia,Slaven Bilic,MF,Ivan Perisic,13
Croatia,Slaven Bilic,DF,Domagoj Vida,11
Croatia,Slaven Bilic,FW,Eduardo,50
Croatia,Slaven Bilic,GK,Danijel Subasic,4
Ukraine,Oleh Blokhin,GK,Maksym Koval,1
Ukraine,Oleh Blokhin,DF,Yevhen Selin,9
Ukraine,Oleh Blokhin,DF,Yevhen Khacheridi,14
Ukraine,Oleh Blokhin,MF,Anatoliy Tymoshchuk,119
Ukraine,Oleh Blokhin,DF,Oleksandr Kucher,29
Ukraine,Oleh Blokhin,MF,Denys Harmash,6
Ukraine,Oleh Blokhin,FW,Andriy Shevchenko,111
Ukraine,Oleh Blokhin,MF,Oleksandr Aliyev,28
Ukraine,Oleh Blokhin,MF,Oleh Husyev,75
Ukraine,Oleh Blokhin,FW,Andriy Voronin,74
Ukraine,Oleh Blokhin,FW,Andriy Yarmolenko,23
Ukraine,Oleh Blokhin,GK,Andriy Pyatov,29
Ukraine,Oleh Blokhin,DF,Vyacheslav Shevchuk,21
Ukraine,Oleh Blokhin,MF,Ruslan Rotan,59
Ukraine,Oleh Blokhin,FW,Artem Milevskyi,49
Ukraine,Oleh Blokhin,FW,Yevhen Seleznyov,29
Ukraine,Oleh Blokhin,DF,Taras Mykhalyk,29
Ukraine,Oleh Blokhin,MF,Serhiy Nazarenko,53
Ukraine,Oleh Blokhin,MF,Yevhen Konoplyanka,22
Ukraine,Oleh Blokhin,DF,Yaroslav Rakitskyi,18
Ukraine,Oleh Blokhin,DF,Bohdan Butko,11
Ukraine,Oleh Blokhin,FW,Marko Devic,24
Ukraine,Oleh Blokhin,GK,Oleksandr Horyainov,2
Sweden,Erik Hamren,GK,Andreas Isaksson,93
Sweden,Erik Hamren,DF,Mikael Lustig,24
Sweden,Erik Hamren,DF,Olof Mellberg,114
Sweden,Erik Hamren,DF,Andreas Granqvist,18
Sweden,Erik Hamren,DF,Martin Olsson,9
Sweden,Erik Hamren,MF,Rasmus Elm,24
Sweden,Erik Hamren,MF,Sebastian Larsson,41
Sweden,Erik Hamren,MF,Anders Svensson,127
Sweden,Erik Hamren,MF,Kim Kallstrom,92
Sweden,Erik Hamren,FW,Zlatan Ibrahimovic,77
Sweden,Erik Hamren,FW,Johan Elmander,63
Sweden,Erik Hamren,GK,Johan Wiland,8
Sweden,Erik Hamren,DF,Jonas Olsson,8
Sweden,Erik Hamren,FW,Tobias Hysen,23
Sweden,Erik Hamren,DF,Mikael Antonsson,5
Sweden,Erik Hamren,MF,Pontus Wernbloom,23
Sweden,Erik Hamren,DF,Behrang Safari,24
Sweden,Erik Hamren,MF,Samuel Holmen,27
Sweden,Erik Hamren,MF,Emir Bajrami,16
Sweden,Erik Hamren,FW,Ola Toivonen,24
Sweden,Erik Hamren,MF,Christian Wilhelmsson,74
Sweden,Erik Hamren,FW,Markus Rosenberg,31
Sweden,Erik Hamren,GK,Par Hansson,2
England,Roy Hodgson,GK,Joe Hart,22
England,Roy Hodgson,DF,Glen Johnson,40
England,Roy Hodgson,DF,Ashley Cole,98
England,Roy Hodgson,MF,Steven Gerrard,96
England,Roy Hodgson,DF,Martin Kelly,1
England,Roy Hodgson,DF,John Terry,77
England,Roy Hodgson,FW,Theo Walcott,28
England,Roy Hodgson,MF,Jordan Henderson,5
England,Roy Hodgson,FW,Andy Carroll,7
England,Roy Hodgson,FW,Wayne Rooney,76
England,Roy Hodgson,MF,Ashley Young,25
England,Roy Hodgson,DF,Leighton Baines,8
England,Roy Hodgson,GK,Robert Green,12
England,Roy Hodgson,DF,Phil Jones,5
England,Roy Hodgson,DF,Joleon Lescott,20
England,Roy Hodgson,MF,James Milner,30
England,Roy Hodgson,MF,Scott Parker,17
England,Roy Hodgson,DF,Phil Jagielka,12
England,Roy Hodgson,MF,Stewart Downing,34
England,Roy Hodgson,MF,Alex Oxlade-Chamberlain,5
England,Roy Hodgson,FW,Jermain Defoe,48
England,Roy Hodgson,FW,Danny Welbeck,9
England,Roy Hodgson,GK,Jack Butland,0
France,Laurent Blanc,GK,Hugo Lloris,37
France,Laurent Blanc,DF,Mathieu Debuchy,9
France,Laurent Blanc,DF,Patrice Evra,42
France,Laurent Blanc,DF,Adil Rami,24
France,Laurent Blanc,DF,Philippe Mexes,29
France,Laurent Blanc,MF,Yohan Cabaye,16
France,Laurent Blanc,MF,Franck Ribery,64
France,Laurent Blanc,MF,Mathieu Valbuena,12
France,Laurent Blanc,FW,Olivier Giroud,9
France,Laurent Blanc,FW,Karim Benzema,49
France,Laurent Blanc,MF,Samir Nasri,35
France,Laurent Blanc,MF,Blaise Matuidi,4
France,Laurent Blanc,DF,Anthony Reveillere,18
France,Laurent Blanc,MF,Jeremy Menez,16
France,Laurent Blanc,MF,Florent Malouda,80
France,Laurent Blanc,GK,Steve Mandanda,15
France,Laurent Blanc,MF,Yann M'Vila,22
France,Laurent Blanc,MF,Alou Diarra,44
France,Laurent Blanc,MF,Marvin Martin,14
France,Laurent Blanc,MF,Hatem Ben Arfa,13
France,Laurent Blanc,DF,Laurent Koscielny,4
France,Laurent Blanc,DF,Gael Clichy,15
France,Laurent Blanc,GK,Cedric Carrasso,1
