player_cap,player_pos,Country,player_name,Coach
13,MF,Jamaica,Joel Grant,Winfried Schafer
37,DF,Jamaica,Adrian Mariappa,Winfried Schafer
31,DF,Jamaica,Kemar Lawrence,Winfried Schafer
85,DF,Jamaica,Jermaine Taylor,Winfried Schafer
19,MF,Jamaica,Garath McCleary,Winfried Schafer
7,GK,Jamaica,Ryan Thompson,Winfried Schafer
42,GK,Mexico,Jose de Jesus Corona,Juan Carlos Osorio
5,DF,Mexico,Nestor Araujo,Juan Carlos Osorio
4,DF,Mexico,Yasser Corona,Juan Carlos Osorio
129,DF,Mexico,Rafael Marquez,Juan Carlos Osorio
32,DF,Mexico,Diego Reyes,Juan Carlos Osorio
45,DF,Mexico,Jorge Torres Nilo,Juan Carlos Osorio
38,DF,Mexico,Miguel Layun,Juan Carlos Osorio
2,FW,Mexico,Hirving Lozano,Juan Carlos Osorio
42,FW,Mexico,Raul Jimenez,Juan Carlos Osorio
20,FW,Mexico,Jesus Manuel Corona,Juan Carlos Osorio
35,MF,Mexico,Javier Aquino,Juan Carlos Osorio
20,GK,Mexico,Alfredo Talavera,Juan Carlos Osorio
74,GK,Mexico,Guillermo Ochoa,Juan Carlos Osorio
80,FW,Mexico,Javier Hernandez,Juan Carlos Osorio
66,DF,Mexico,Hector Moreno,Juan Carlos Osorio
39,MF,Mexico,Hector Herrera,Juan Carlos Osorio
1,MF,Mexico,Candido Ramirez,Juan Carlos Osorio
124,MF,Mexico,Andres Guardado,Juan Carlos Osorio
46,FW,Mexico,Oribe Peralta,Juan Carlos Osorio
6,MF,Mexico,Jesus Duenas,Juan Carlos Osorio
16,MF,Mexico,Carlos Pena,Juan Carlos Osorio
50,DF,Mexico,Paul Aguilar,Juan Carlos Osorio
11,MF,Mexico,Jesus Molina,Juan Carlos Osorio
79,GK,Uruguay,Fernando Muslera,Oscar Tabarez
25,DF,Uruguay,Jose Gimenez,Oscar Tabarez
97,DF,Uruguay,Diego Godin,Oscar Tabarez
46,DF,Uruguay,Jorge Fucile,Oscar Tabarez
16,MF,Uruguay,Carlos Sanchez,Oscar Tabarez
78,DF,Uruguay,Alvaro Pereira,Oscar Tabarez
0,MF,Uruguay,Diego Laxalt,Oscar Tabarez
25,FW,Uruguay,Abel Hernandez,Oscar Tabarez
84,FW,Uruguay,Luis Suarez,Oscar Tabarez
34,MF,Uruguay,Gaston Ramirez,Oscar Tabarez
27,FW,Uruguay,Cristhian Stuani,Oscar Tabarez
0,GK,Uruguay,Martin Campana,Oscar Tabarez
23,DF,Uruguay,Mauricio Victorino,Oscar Tabarez
44,MF,Uruguay,Nicolas Lodeiro,Oscar Tabarez
2,MF,Uruguay,Matias Vecino,Oscar Tabarez
110,DF,Uruguay,Maxi Pereira,Oscar Tabarez
77,MF,Uruguay,Egidio Arevalo Rios,Oscar Tabarez
12,DF,Uruguay,Mathias Corujo,Oscar Tabarez
2,DF,Uruguay,Gaston Silva,Oscar Tabarez
62,MF,Uruguay,Alvaro Gonzalez,Oscar Tabarez
80,FW,Uruguay,Edinson Cavani,Oscar Tabarez
18,FW,Uruguay,Diego Rolan,Oscar Tabarez
7,GK,Uruguay,Martin Silva,Oscar Tabarez
2,GK,Venezuela,Jose Contreras,Rafael Dudamel
4,DF,Venezuela,Wilker Angel,Rafael Dudamel
2,DF,Venezuela,Mikel Villanueva,Rafael Dudamel
71,DF,Venezuela,Oswaldo Vizcarrondo,Rafael Dudamel
8,MF,Venezuela,Arquimedes Figuera,Rafael Dudamel
15,DF,Venezuela,Jose Manuel Velazquez,Rafael Dudamel
10,FW,Venezuela,Yonathan Del Valle,Rafael Dudamel
69,MF,Venezuela,Tomas Rincon,Rafael Dudamel
49,FW,Venezuela,Salomon Rondon,Rafael Dudamel
11,MF,Venezuela,Romulo Otero,Rafael Dudamel
3,MF,Venezuela,Juanpi,Rafael Dudamel
20,GK,Venezuela,Dani Hernandez,Rafael Dudamel
62,MF,Venezuela,Luis Manuel Seijas,Rafael Dudamel
0,MF,Venezuela,Carlos Suarez,Rafael Dudamel
52,MF,Venezuela,Alejandro Guerra,Rafael Dudamel
63,DF,Venezuela,Roberto Rosales,Rafael Dudamel
24,FW,Venezuela,Josef Martinez,Rafael Dudamel
2,MF,Venezuela,Adalberto Penaranda,Rafael Dudamel
4,FW,Venezuela,Christian Santos,Rafael Dudamel
5,DF,Venezuela,Rolf Feltscher,Rafael Dudamel
30,DF,Venezuela,Alexander Gonzalez,Rafael Dudamel
0,MF,Venezuela,Yangel Herrera,Rafael Dudamel
0,GK,Venezuela,Wuilker Farinez,Rafael Dudamel
72,GK,Argentina,Sergio Romero,Gerardo Martino
2,DF,Argentina,Jonathan Maidana,Gerardo Martino
10,DF,Argentina,Facundo Roncaglia,Gerardo Martino
4,DF,Argentina,Gabriel Mercado,Gerardo Martino
4,MF,Argentina,Matias Kranevitter,Gerardo Martino
37,MF,Argentina,Lucas Biglia,Gerardo Martino
72,MF,Argentina,Angel Di Maria,Gerardo Martino
11,MF,Argentina,Augusto Fernandez,Gerardo Martino
56,FW,Argentina,Gonzalo Higuain,Gerardo Martino
112,FW,Argentina,Lionel Messi,Gerardo Martino
71,FW,Argentina,Sergio Aguero,Gerardo Martino
6,GK,Argentina,Nahuel Guzman,Gerardo Martino
6,DF,Argentina,Ramiro Funes Mori,Gerardo Martino
123,MF,Argentina,Javier Mascherano,Gerardo Martino
0,DF,Argentina,Victor Cuesta,Gerardo Martino
43,DF,Argentina,Marcos Rojo,Gerardo Martino
31,DF,Argentina,Nicolas Otamendi,Gerardo Martino
15,MF,Argentina,Erik Lamela,Gerardo Martino
40,MF,Argentina,Ever Banega,Gerardo Martino
12,MF,Argentina,Nicolas Gaitan,Gerardo Martino
27,MF,Argentina,Javier Pastore,Gerardo Martino
49,FW,Argentina,Ezequiel Lavezzi,Gerardo Martino
11,GK,Argentina,Mariano Andujar,Gerardo Martino
4,GK,Bolivia,Carlos Lampe,Julio Cesar Baldivieso
3,DF,Bolivia,Erwin Saavedra,Julio Cesar Baldivieso
31,DF,Bolivia,Luis Alberto Gutierrez,Julio Cesar Baldivieso
11,DF,Bolivia,Diego Bejarano,Julio Cesar Baldivieso
0,DF,Bolivia,Nelson Cabrera,Julio Cesar Baldivieso
17,MF,Bolivia,Walter Veizaga,Julio Cesar Baldivieso
49,FW,Bolivia,Juan Carlos Arce,Julio Cesar Baldivieso
8,MF,Bolivia,Martin Smedberg-Dalence,Julio Cesar Baldivieso
6,FW,Bolivia,Yasmani Duk,Julio Cesar Baldivieso
33,MF,Bolivia,Jhasmani Campos,Julio Cesar Baldivieso
4,FW,Bolivia,Gilbert Alvarez,Julio Cesar Baldivieso
13,GK,Bolivia,Romel Quinonez,Julio Cesar Baldivieso
10,MF,Bolivia,Alejandro Melean,Julio Cesar Baldivieso
0,MF,Bolivia,Raul Castro,Julio Cesar Baldivieso
9,MF,Bolivia,Pedro Azogue,Julio Cesar Baldivieso
0,MF,Bolivia,Cristhian Machado,Julio Cesar Baldivieso
26,DF,Bolivia,Marvin Bejarano,Julio Cesar Baldivieso
8,FW,Bolivia,Rodrigo Ramallo,Julio Cesar Baldivieso
1,MF,Bolivia,Carmelo Algaranaz,Julio Cesar Baldivieso
1,MF,Bolivia,Fernando Saucedo,Julio Cesar Baldivieso
15,DF,Bolivia,Ronald Eguino,Julio Cesar Baldivieso
25,DF,Bolivia,Edward Zenteno,Julio Cesar Baldivieso
0,GK,Bolivia,Guillermo Vizcarra,Julio Cesar Baldivieso
100,GK,Chile,Claudio Bravo,Juan Antonio Pizzi
44,DF,Chile,Eugenio Mena,Juan Antonio Pizzi
6,DF,Chile,Enzo Roco,Juan Antonio Pizzi
73,DF,Chile,Mauricio Isla,Juan Antonio Pizzi
23,MF,Chile,Francisco Silva,Juan Antonio Pizzi
26,FW,Chile,Jose Pedro Fuenzalida,Juan Antonio Pizzi
93,FW,Chile,Alexis Sanchez,Juan Antonio Pizzi
74,MF,Chile,Arturo Vidal,Juan Antonio Pizzi
39,FW,Chile,Mauricio Pinilla,Juan Antonio Pizzi
4,MF,Chile,Pablo Hernandez,Juan Antonio Pizzi
52,FW,Chile,Eduardo Vargas,Juan Antonio Pizzi
4,GK,Chile,Cristopher Toselli,Juan Antonio Pizzi
2,MF,Chile,Erick Pulgar,Juan Antonio Pizzi
54,FW,Chile,Mark Gonzalez,Juan Antonio Pizzi
75,DF,Chile,Jean Beausejour,Juan Antonio Pizzi
2,FW,Chile,Nicolas Castillo,Juan Antonio Pizzi
87,DF,Chile,Gary Medel,Juan Antonio Pizzi
87,DF,Chile,Gonzalo Jara,Juan Antonio Pizzi
35,FW,Chile,Fabian Orellana,Juan Antonio Pizzi
40,MF,Chile,Charles Aranguiz,Juan Antonio Pizzi
43,MF,Chile,Marcelo Diaz,Juan Antonio Pizzi
6,FW,Chile,Edson Puch,Juan Antonio Pizzi
14,GK,Chile,Johnny Herrera,Juan Antonio Pizzi
114,GK,Panama,Jaime Penedo,Hernan Dario Gomez
10,MF,Panama,Miguel Camargo,Hernan Dario Gomez
41,DF,Panama,Harold Cummings,Hernan Dario Gomez
4,DF,Panama,Fidel Escobar,Hernan Dario Gomez
15,DF,Panama,Roderick Miller,Hernan Dario Gomez
121,MF,Panama,Gabriel Gomez,Hernan Dario Gomez
105,FW,Panama,Blas Perez,Hernan Dario Gomez
53,FW,Panama,Gabriel Torres,Hernan Dario Gomez
15,FW,Panama,Roberto Nurse,Hernan Dario Gomez
91,FW,Panama,Luis Tejada,Hernan Dario Gomez
67,MF,Panama,Armando Cooper,Hernan Dario Gomez
3,GK,Panama,Alex Rodriguez,Hernan Dario Gomez
62,DF,Panama,Adolfo Machado,Hernan Dario Gomez
16,MF,Panama,Valentin Pimentel,Hernan Dario Gomez
8,DF,Panama,Martin Gomez,Hernan Dario Gomez
13,FW,Panama,Abdiel Arroyo,Hernan Dario Gomez
87,DF,Panama,Luis Henriquez,Hernan Dario Gomez
18,MF,Panama,Ricardo Buitrago,Hernan Dario Gomez
67,MF,Panama,Alberto Quintero,Hernan Dario Gomez
55,MF,Panama,Anibal Godoy,Hernan Dario Gomez
69,MF,Panama,Amilcar Henriquez,Hernan Dario Gomez
13,GK,Panama,Jose Calderon,Hernan Dario Gomez
92,DF,Panama,Felipe Baloy,Hernan Dario Gomez
