Nation,Rank,Overall,Attack,Midfield,Defence,HomeStadium,RivalTeam,InternationalPrestige,Starting11AverageAge,WholeTeamAverageAge,Captain,ShortFreeKick,LongFreeKick,Penalties,LeftCorner,RightCorner,BuildUpPlay_Speed,BuildUpPlay_Dribbling,BuildUpPlay_Passing,BuildUpPlay_Positioning,ChanceCreation_Passing,ChanceCreation_Crossing,ChanceCreation_Shooting,ChanceCreation_Positioning,Defence_Pressure,Defence_Aggression,Defence_TeamWidth,Defence_DefenderLine
Uruguay,6,78,83,76,76,ElMonumento(EstadioLatino),Argentina,12,28.09,28.26,D.Lugano,L.Suárez,L.Suárez,L.Suárez,C.Rodríguez,C.Rodríguez,75,65,55,Organised,50,32,67,Organised,31,46,38,Cover
Ecuador,28,72,72,74,67,StadioComunale(OlimpicoGenerico),Peru,7,27.09,26.74,W.Ayoví,W.Ayoví,W.Ayoví,A.Valencia,A.Valencia,A.Valencia,50,69,50,Organised,65,50,50,Organised,35,55,35,Cover
France,16,82,84,80,80,ParcdesPrinces,Italy,18,25.82,25.65,H.Lloris,F.Ribéry,M.Valbuena,K.Benzema,M.Valbuena,M.Valbuena,48,60,36,Organised,49,52,52,Organised,36,46,52,Cover
Switzerland,8,77,74,77,76,Waldstadion(Fussballstadion),Austria,11,24.73,24.65,G.Inler,X.Shaqiri,V.Stocker,X.Shaqiri,X.Shaqiri,G.Inler,48,51,52,Organised,48,51,43,Organised,47,45,52,Cover
Argentina,7,82,86,81,79,ElMonumento(EstadioLatino),Brazil,18,25.64,27.39,L.Messi,L.Messi,A.DiMaría,L.Messi,A.DiMaría,A.DiMaría,32,70,39,Organised,41,36,68,Free Form,60,55,50,Cover
Germany,2,84,82,85,81,Olympiastadion,England,19,26.45,25.39,P.Lahm,M.Reus,M.Reus,B.Schweinsteiger,M.Reus,M.Reus,63,29,40,Organised,48,48,63,Organised,44,57,51,Cover
Portugal,3,80,82,79,80,StadionHanguk,Spain,16,27.91,27.17,CristianoRonaldo,CristianoRonaldo,JoãoMoutinho,CristianoRonaldo,JoãoMoutinho,RaúlMeireles,55,55,31,Organised,30,52,48,Free Form,47,47,63,Cover
United States,14,74,74,74,69,EstadiodelasArtes(GenericStadiumNG),Mexico,12,26.09,26.35,C.Dempsey,C.Dempsey,M.Bradley,C.Dempsey,C.Dempsey,C.Dempsey,41,42,58,Organised,66,50,35,Organised,35,35,50,Cover
Belgium,12,81,80,80,79,ODromo,Netherlands,10,23.91,24.3,V.Kompany,K.DeBruyne,K.DeBruyne,E.Hazard,K.DeBruyne,K.DeBruyne,30,41,36,Organised,56,37,33,Organised,48,42,48,Cover
Russia,18,77,78,77,75,StadionOlympik,Slovenia,12,28.09,26.39,R.Shirokov,R.Shirokov,S.Ignashevich,R.Shirokov,Y.Zhirkov,A.Samedov,45,47,45,Organised,70,74,49,Organised,47,47,38,Cover
South Korea,55,71,70,71,69,EstadiodelasArtes(GenericStadiumNG),Australia,12,24.18,24.74,J.Koo,J.Park,S.Ki,J.Park,S.Ki,S.Ki,66,50,57,Organised,78,50,45,Organised,61,48,51,Cover
