Year,DateTime,Round,Stadium,City,HomeTeam,HomeGoals,AwayGoals,AwayTeam,Observation
1938,"14 Jun 1938 - 18:00 ",Quarter-finals,Stade du Parc Lescure,"Bordeaux ",Brazil,2,1,Czechoslovakia," "
1938,"16 Jun 1938 - 18:00 ",Semi-finals,Parc des Princes,"Paris ",Hungary,5,1,Sweden," "
1938,"16 Jun 1938 - 18:00 ",Semi-finals,Stade V�lodrome,"Marseilles ",Italy,2,1,Brazil," "
1938,"19 Jun 1938 - 17:00 ",Match for third place,Stade du Parc Lescure,"Bordeaux ",Brazil,4,2,Sweden," "
1938,"19 Jun 1938 - 17:00 ",Final,Stade Olympique,"Colombes ",Italy,4,2,Hungary," "
1950,"24 Jun 1950 - 15:00 ",Group 1,Maracan� - Est�dio Jornalista M�rio Filho,"Rio De Janeiro ",Brazil,4,0,Mexico," "
1950,"25 Jun 1950 - 15:00 ",Group 2,Maracan� - Est�dio Jornalista M�rio Filho,"Rio De Janeiro ",England,2,0,Chile," "
1950,"25 Jun 1950 - 15:00 ",Group 2,Durival de Brito,"Curitiba ",Spain,3,1,USA," "
1950,"25 Jun 1950 - 15:00 ",Group 3,Pacaembu,"Sao Paulo ",Sweden,3,2,Italy," "
1950,"25 Jun 1950 - 15:00 ",Group 1,Independencia,"Belo Horizonte ",Yugoslavia,3,0,Switzerland," "
1950,"28 Jun 1950 - 15:00 ",Group 1,Pacaembu,"Sao Paulo ",Brazil,2,2,Switzerland," "
1950,"28 Jun 1950 - 15:00 ",Group 1,Eucaliptos,"Porto Alegre ",Yugoslavia,4,1,Mexico," "
1950,"29 Jun 1950 - 15:00 ",Group 2,Maracan� - Est�dio Jornalista M�rio Filho,"Rio De Janeiro ",Spain,2,0,Chile," "
1950,"29 Jun 1950 - 15:30 ",Group 3,Durival de Brito,"Curitiba ",Sweden,2,2,Paraguay," "
1950,"29 Jun 1950 - 15:00 ",Group 2,Independencia,"Belo Horizonte ",USA,1,0,England," "
1950,"01 Jul 1950 - 15:00 ",Group 1,Maracan� - Est�dio Jornalista M�rio Filho,"Rio De Janeiro ",Brazil,2,0,Yugoslavia," "
1950,"02 Jul 1950 - 15:00 ",Group 2,Maracan� - Est�dio Jornalista M�rio Filho,"Rio De Janeiro ",Spain,1,0,England," "
1950,"02 Jul 1950 - 15:00 ",Group 3,Pacaembu,"Sao Paulo ",Italy,2,0,Paraguay," "
1950,"02 Jul 1950 - 15:00 ",Group 4,Independencia,"Belo Horizonte ",Uruguay,8,0,Bolivia," "
1950,"02 Jul 1950 - 15:40 ",Group 1,Eucaliptos,"Porto Alegre ",Switzerland,2,1,Mexico," "
1950,"02 Jul 1950 - 15:00 ",Group 2,Ilha do Retiro,"Recife ",Chile,5,2,USA," "
1950,"09 Jul 1950 - 15:00 ",Group 6,Pacaembu,"Sao Paulo ",Uruguay,2,2,Spain," "
1950,"09 Jul 1950 - 15:00 ",Group 6,Maracan� - Est�dio Jornalista M�rio Filho,"Rio De Janeiro ",Brazil,7,1,Sweden," "
1950,"13 Jul 1950 - 15:00 ",Group 6,Maracan� - Est�dio Jornalista M�rio Filho,"Rio De Janeiro ",Brazil,6,1,Spain," "
1950,"13 Jul 1950 - 15:00 ",Group 6,Pacaembu,"Sao Paulo ",Uruguay,3,2,Sweden," "
1950,"16 Jul 1950 - 15:00 ",Group 6,Pacaembu,"Sao Paulo ",Sweden,3,1,Spain," "
1950,"16 Jul 1950 - 15:00 ",Group 6,Maracan� - Est�dio Jornalista M�rio Filho,"Rio De Janeiro ",Uruguay,2,1,Brazil," "
1954,"16 Jun 1954 - 18:00 ",Group 3,Wankdorf Stadium,"Berne ",Uruguay,2,0,Czechoslovakia," "
1954,"16 Jun 1954 - 18:00 ",Group 3,Hardturm,"Zurich ",Austria,1,0,Scotland," "
1954,"16 Jun 1954 - 18:00 ",Group 1,Charmilles,"Geneva ",Brazil,5,0,Mexico," "
1954,"16 Jun 1954 - 18:00 ",Group 1,La Pontaise,"Lausanne ",Yugoslavia,1,0,France," "
1954,"17 Jun 1954 - 18:00 ",Group 2,Wankdorf Stadium,"Berne ",Germany FR,4,1,Turkey," "
1954,"17 Jun 1954 - 18:00 ",Group 2,Hardturm,"Zurich ",Hungary,9,0,Korea Republic," "
1954,"17 Jun 1954 - 18:10 ",Group 4,St. Jakob,"Basel ",England,4,4,Belgium," "
1954,"17 Jun 1954 - 17:50 ",Group 4,La Pontaise,"Lausanne ",Switzerland,2,1,Italy," "
1954,"19 Jun 1954 - 16:50 ",Group 3,St. Jakob,"Basel ",Uruguay,7,0,Scotland," "
1954,"19 Jun 1954 - 17:00 ",Group 3,Hardturm,"Zurich ",Austria,5,0,Czechoslovakia," "
1954,"19 Jun 1954 - 17:10 ",Group 1,Charmilles,"Geneva ",France,3,2,Mexico," "
1954,"19 Jun 1954 - 17:00 ",Group 1,La Pontaise,"Lausanne ",Brazil,1,1,Yugoslavia," "
1954,"20 Jun 1954 - 16:50 ",Group 2,St. Jakob,"Basel ",Hungary,8,3,Germany FR," "
1954,"20 Jun 1954 - 17:00 ",Group 2,Charmilles,"Geneva ",Turkey,7,0,Korea Republic," "
1954,"20 Jun 1954 - 17:10 ",Group 4,Wankdorf Stadium,"Berne ",England,2,0,Switzerland," "
1954,"20 Jun 1954 - 17:00 ",Group 4,Comunale di Cornaredo,"Lugano ",Italy,4,1,Belgium," "
1954,"23 Jun 1954 - 18:00 ",Group 2,Hardturm,"Zurich ",Germany FR,7,2,Turkey," "
1954,"23 Jun 1954 - 18:00 ",Group 4,St. Jakob,"Basel ",Switzerland,4,1,Italy," "
1954,"26 Jun 1954 - 17:00 ",Quarter-finals,St. Jakob,"Basel ",Uruguay,4,2,England," "
1954,"26 Jun 1954 - 17:00 ",Quarter-finals,La Pontaise,"Lausanne ",Austria,7,5,Switzerland," "
1954,"27 Jun 1954 - 17:00 ",Quarter-finals,Charmilles,"Geneva ",Germany FR,2,0,Yugoslavia," "
1954,"27 Jun 1954 - 17:00 ",Quarter-finals,Wankdorf Stadium,"Berne ",Hungary,4,2,Brazil," "
1954,"30 Jun 1954 - 18:00 ",Semi-finals,St. Jakob,"Basel ",Germany FR,6,1,Austria," "
1954,"30 Jun 1954 - 18:00 ",Semi-finals,La Pontaise,"Lausanne ",Hungary,4,2,Uruguay,"Hungary win after extra time "
1954,"03 Jul 1954 - 17:00 ",Match for third place,Hardturm,"Zurich ",Austria,3,1,Uruguay," "
1954,"04 Jul 1954 - 17:00 ",Final,Wankdorf Stadium,"Berne ",Germany FR,3,2,Hungary," "
1958,"08 Jun 1958 - 14:00 ",Group 3,Rasunda Stadium,"Solna ",Sweden,3,0,Mexico," "
1958,"08 Jun 1958 - 19:00 ",Group 4,Nya Ullevi,"Gothenburg ",Soviet Union,2,2,England," "
1958,"08 Jun 1958 - 19:00 ",Group 1,Malmo Stadion,"Malm� ",Argentina,1,3,Germany FR," "
1958,"08 Jun 1958 - 19:00 ",Group 3,Jarnvallen,"Sandviken ",Hungary,1,1,Wales," "
1958,"08 Jun 1958 - 19:00 ",Group 2,Idrottsparken,"Norrk�Ping ",France,7,3,Paraguay," "
1958,"08 Jun 1958 - 19:00 ",Group 2,Arosvallen,"Vasteras ",Yugoslavia,1,1,Scotland," "
1958,"08 Jun 1958 - 19:00 ",Group 4,Rimnersvallen,"Udevalla ",Brazil,3,0,Austria," "
1958,"08 Jun 1958 - 19:00 ",Group 1,Orjans Vall,"Halmstad ",,1,0,Czechoslovakia," "
1958,"11 Jun 1958 - 19:00 ",Group 4,Nya Ullevi,"Gothenburg ",Brazil,0,0,England," "
1958,"11 Jun 1958 - 19:00 ",Group 3,Rasunda Stadium,"Solna ",Mexico,1,1,Wales," "
1958,"11 Jun 1958 - 19:00 ",Group 2,Idrottsparken,"Norrk�Ping ",Paraguay,3,2,Scotland," "
1958,"11 Jun 1958 - 19:00 ",Group 2,Arosvallen,"Vasteras ",Yugoslavia,3,2,France," "
1958,"11 Jun 1958 - 19:00 ",Group 4,Ryavallen,"Boras ",Soviet Union,2,0,Austria," "
1958,"11 Jun 1958 - 19:00 ",Group 1,Olympia Stadium,"Helsingborg ",Germany FR,2,2,Czechoslovakia," "
1958,"11 Jun 1958 - 19:00 ",Group 1,Orjans Vall,"Halmstad ",Argentina,3,1,," "
1958,"12 Jun 1958 - 19:00 ",Group 3,Rasunda Stadium,"Solna ",Sweden,2,1,Hungary," "
1958,"15 Jun 1958 - 14:00 ",Group 3,Rasunda Stadium,"Solna ",Sweden,0,0,Wales," "
1958,"15 Jun 1958 - 19:00 ",Group 4,Nya Ullevi,"Gothenburg ",Brazil,2,0,Soviet Union," "
1958,"15 Jun 1958 - 19:00 ",Group 1,Malmo Stadion,"Malm� ",Germany FR,2,2,," "
1958,"15 Jun 1958 - 19:00 ",Group 3,Jarnvallen,"Sandviken ",Hungary,4,0,Mexico," "
1958,"15 Jun 1958 - 19:00 ",Group 2,Tunavallen,"Eskilstuna ",Paraguay,3,3,Yugoslavia," "
1958,"15 Jun 1958 - 19:00 ",Group 2,Eyravallen,"Orebro ",France,2,1,Scotland," "
1958,"15 Jun 1958 - 19:00 ",Group 4,Ryavallen,"Boras ",England,2,2,Austria," "
1958,"15 Jun 1958 - 19:00 ",Group 1,Olympia Stadium,"Helsingborg ",Czechoslovakia,6,1,Argentina," "
1958,"17 Jun 1958 - 19:00 ",Group 4,Nya Ullevi,"Gothenburg ",Soviet Union,1,0,England," "
1958,"17 Jun 1958 - 19:00 ",Group 1,Malmo Stadion,"Malm� ",,2,1,Czechoslovakia,"Northern Ireland win after extra time "
1958,"17 Jun 1958 - 19:00 ",Group 3,Rasunda Stadium,"Solna ",Wales,2,1,Hungary," "
1958,"19 Jun 1958 - 19:00 ",Quarter-finals,Nya Ullevi,"Gothenburg ",Brazil,1,0,Wales," "
1958,"19 Jun 1958 - 19:00 ",Quarter-finals,Malmo Stadion,"Malm� ",Germany FR,1,0,Yugoslavia," "
1958,"19 Jun 1958 - 19:00 ",Quarter-finals,Rasunda Stadium,"Solna ",Sweden,2,0,Soviet Union," "
1958,"19 Jun 1958 - 19:00 ",Quarter-finals,Idrottsparken,"Norrk�Ping ",France,4,0,," "
1958,"24 Jun 1958 - 19:00 ",Semi-finals,Nya Ullevi,"Gothenburg ",Sweden,3,1,Germany FR," "
1958,"24 Jun 1958 - 19:00 ",Semi-finals,Rasunda Stadium,"Solna ",Brazil,5,2,France," "
1958,"28 Jun 1958 - 17:00 ",Match for third place,Nya Ullevi,"Gothenburg ",France,6,3,Germany FR," "
1958,"29 Jun 1958 - 15:00 ",Final,Rasunda Stadium,"Solna ",Brazil,5,2,Sweden," "
1962,"30 May 1962 - 15:00 ",Group 1,Carlos Dittborn,"Arica ",Uruguay,2,1,Colombia," "
1962,"30 May 1962 - 15:00 ",Group 3,Estadio Sausalito,"Vina Del Mar ",Brazil,2,0,Mexico," "
1962,"30 May 1962 - 15:00 ",Group 4,Estadio El Teniente-Codelco,"Rancagua ",Argentina,1,0,Bulgaria," "
1962,"30 May 1962 - 15:00 ",Group 2,Nacional,"Santiago De Chile ",Chile,3,1,Switzerland," "
1962,"31 May 1962 - 15:00 ",Group 1,Carlos Dittborn,"Arica ",Soviet Union,2,0,Yugoslavia," "
1962,"31 May 1962 - 15:00 ",Group 3,Estadio Sausalito,"Vina Del Mar ",Czechoslovakia,1,0,Spain," "
1962,"31 May 1962 - 15:00 ",Group 4,Estadio El Teniente-Codelco,"Rancagua ",Hungary,2,1,England," "
1962,"31 May 1962 - 15:00 ",Group 2,Nacional,"Santiago De Chile ",Germany FR,0,0,Italy," "
1962,"02 Jun 1962 - 15:00 ",Group 1,Carlos Dittborn,"Arica ",Yugoslavia,3,1,Uruguay," "
1962,"02 Jun 1962 - 15:00 ",Group 3,Estadio Sausalito,"Vina Del Mar ",Brazil,0,0,Czechoslovakia," "
1962,"02 Jun 1962 - 15:00 ",Group 4,Estadio El Teniente-Codelco,"Rancagua ",England,3,1,Argentina," "
1962,"02 Jun 1962 - 15:00 ",Group 2,Nacional,"Santiago De Chile ",Chile,2,0,Italy," "
1962,"03 Jun 1962 - 15:00 ",Group 1,Carlos Dittborn,"Arica ",Soviet Union,4,4,Colombia," "
1962,"03 Jun 1962 - 15:00 ",Group 3,Estadio Sausalito,"Vina Del Mar ",Spain,1,0,Mexico," "
1962,"03 Jun 1962 - 15:00 ",Group 4,Estadio El Teniente-Codelco,"Rancagua ",Hungary,6,1,Bulgaria," "
1962,"03 Jun 1962 - 15:00 ",Group 2,Nacional,"Santiago De Chile ",Germany FR,2,1,Switzerland," "
1962,"06 Jun 1962 - 15:00 ",Group 1,Carlos Dittborn,"Arica ",Soviet Union,2,1,Uruguay," "
1962,"06 Jun 1962 - 15:00 ",Group 3,Estadio Sausalito,"Vina Del Mar ",Brazil,2,1,Spain," "
1962,"06 Jun 1962 - 15:00 ",Group 4,Estadio El Teniente-Codelco,"Rancagua ",Hungary,0,0,Argentina," "
1962,"06 Jun 1962 - 15:00 ",Group 2,Nacional,"Santiago De Chile ",Germany FR,2,0,Chile," "
1962,"07 Jun 1962 - 15:00 ",Group 1,Carlos Dittborn,"Arica ",Yugoslavia,5,0,Colombia," "
1962,"07 Jun 1962 - 15:00 ",Group 3,Estadio Sausalito,"Vina Del Mar ",Mexico,3,1,Czechoslovakia," "
1962,"07 Jun 1962 - 15:00 ",Group 4,Estadio El Teniente-Codelco,"Rancagua ",England,0,0,Bulgaria," "
1962,"07 Jun 1962 - 15:00 ",Group 2,Nacional,"Santiago De Chile ",Italy,3,0,Switzerland," "
1962,"10 Jun 1962 - 14:30 ",Quarter-finals,Carlos Dittborn,"Arica ",Chile,2,1,Soviet Union," "
1962,"10 Jun 1962 - 14:30 ",Quarter-finals,Estadio Sausalito,"Vina Del Mar ",Brazil,3,1,England," "
1962,"10 Jun 1962 - 14:30 ",Quarter-finals,Estadio El Teniente-Codelco,"Rancagua ",Czechoslovakia,1,0,Hungary," "
1962,"10 Jun 1962 - 14:30 ",Quarter-finals,Nacional,"Santiago De Chile ",Yugoslavia,1,0,Germany FR," "
1962,"13 Jun 1962 - 14:30 ",Semi-finals,Estadio Sausalito,"Vina Del Mar ",Czechoslovakia,3,1,Yugoslavia," "
1962,"13 Jun 1962 - 14:30 ",Semi-finals,Nacional,"Santiago De Chile ",Brazil,4,2,Chile," "
1962,"16 Jun 1962 - 14:30 ",Match for third place,Nacional,"Santiago De Chile ",Chile,1,0,Yugoslavia," "
1962,"17 Jun 1962 - 14:30 ",Final,Nacional,"Santiago De Chile ",Brazil,3,1,Czechoslovakia," "
1966,"11 Jul 1966 - 19:30 ",Group 1,Wembley Stadium,"London ",England,0,0,Uruguay," "
1966,"12 Jul 1966 - 19:30 ",Group 2,Hillsborough,"Sheffield ",Germany FR,5,0,Switzerland," "
1966,"12 Jul 1966 - 19:30 ",Group 3,Goodison Park,"Liverpool ",Brazil,2,0,Bulgaria," "
1966,"12 Jul 1966 - 19:30 ",Group 4,Ayresome Park,"Middlesbrough ",Soviet Union,3,0,Korea DPR," "
1966,"13 Jul 1966 - 19:30 ",Group 1,Wembley Stadium,"London ",France,1,1,Mexico," "
1966,"13 Jul 1966 - 19:30 ",Group 3,Old Trafford Stadium,"Manchester ",Portugal,3,1,Hungary," "
1966,"13 Jul 1966 - 19:30 ",Group 2,Villa Park,"Birmingham ",Argentina,2,1,Spain," "
1966,"13 Jul 1966 - 19:30 ",Group 4,Roker Park Ground,"Sunderland ",Italy,2,0,Chile," "
1966,"15 Jul 1966 - 19:30 ",Group 1,White City,"London ",Uruguay,2,1,France," "
1966,"15 Jul 1966 - 19:30 ",Group 2,Hillsborough,"Sheffield ",Spain,2,1,Switzerland," "
1966,"15 Jul 1966 - 19:30 ",Group 3,Goodison Park,"Liverpool ",Hungary,3,1,Brazil," "
1966,"15 Jul 1966 - 19:30 ",Group 4,Ayresome Park,"Middlesbrough ",Korea DPR,1,1,Chile," "
1966,"16 Jul 1966 - 15:00 ",Group 3,Old Trafford Stadium,"Manchester ",Portugal,3,0,Bulgaria," "
1966,"16 Jul 1966 - 15:00 ",Group 2,Villa Park,"Birmingham ",Germany FR,0,0,Argentina," "
1966,"16 Jul 1966 - 15:00 ",Group 4,Roker Park Ground,"Sunderland ",Soviet Union,1,0,Italy," "
1966,"16 Jul 1966 - 19:30 ",Group 1,Wembley Stadium,"London ",England,2,0,Mexico," "
1966,"19 Jul 1966 - 16:30 ",Group 1,Wembley Stadium,"London ",Uruguay,0,0,Mexico," "
1966,"19 Jul 1966 - 19:30 ",Group 2,Hillsborough,"Sheffield ",Argentina,2,0,Switzerland," "
1966,"19 Jul 1966 - 19:30 ",Group 3,Goodison Park,"Liverpool ",Portugal,3,1,Brazil," "
1966,"19 Jul 1966 - 19:30 ",Group 4,Ayresome Park,"Middlesbrough ",Korea DPR,1,0,Italy," "
1966,"20 Jul 1966 - 19:30 ",Group 1,Wembley Stadium,"London ",England,2,0,France," "
1966,"20 Jul 1966 - 19:30 ",Group 3,Old Trafford Stadium,"Manchester ",Hungary,3,1,Bulgaria," "
1966,"20 Jul 1966 - 19:30 ",Group 2,Villa Park,"Birmingham ",Germany FR,2,1,Spain," "
1966,"20 Jul 1966 - 19:30 ",Group 4,Roker Park Ground,"Sunderland ",Soviet Union,2,1,Chile," "
1966,"23 Jul 1966 - 15:00 ",Quarter-finals,Wembley Stadium,"London ",England,1,0,Argentina," "
1966,"23 Jul 1966 - 15:00 ",Quarter-finals,Hillsborough,"Sheffield ",Germany FR,4,0,Uruguay," "
1966,"23 Jul 1966 - 15:00 ",Quarter-finals,Roker Park Ground,"Sunderland ",Soviet Union,2,1,Hungary," "
1966,"23 Jul 1966 - 15:00 ",Quarter-finals,Goodison Park,"Liverpool ",Portugal,5,3,Korea DPR," "
1966,"25 Jul 1966 - 19:30 ",Semi-finals,Goodison Park,"Liverpool ",Germany FR,2,1,Soviet Union," "
1966,"26 Jul 1966 - 19:30 ",Semi-finals,Wembley Stadium,"London ",England,2,1,Portugal," "
1966,"28 Jul 1966 - 19:30 ",Match for third place,Wembley Stadium,"London ",Portugal,2,1,Soviet Union," "
1966,"30 Jul 1966 - 15:00 ",Final,Wembley Stadium,"London ",England,4,2,Germany FR,"England win after extra time "
1970,"31 May 1970 - 12:00 ",Group 1,Estadio Azteca,"Mexico City ",Mexico,0,0,Soviet Union," "
1970,"02 Jun 1970 - 16:00 ",Group 2,Cuauhtemoc,"Puebla ",Uruguay,2,0,Israel," "
1970,"02 Jun 1970 - 16:00 ",Group 4,Nou Camp - Estadio Le�n,"Leon ",Peru,3,2,Bulgaria," "
1970,"02 Jun 1970 - 16:00 ",Group 3,Jalisco,"Guadalajara ",England,1,0,Romania," "
1970,"03 Jun 1970 - 16:00 ",Group 2,Luis Dosal,"Toluca ",Italy,1,0,Sweden," "
1970,"03 Jun 1970 - 16:00 ",Group 4,Nou Camp - Estadio Le�n,"Leon ",Germany FR,2,1,Morocco," "
1970,"03 Jun 1970 - 16:00 ",Group 3,Jalisco,"Guadalajara ",Brazil,4,1,Czechoslovakia," "
1970,"03 Jun 1970 - 16:00 ",Group 1,Estadio Azteca,"Mexico City ",Belgium,3,0,El Salvador," "
1970,"06 Jun 1970 - 16:00 ",Group 2,Cuauhtemoc,"Puebla ",Uruguay,0,0,Italy," "
1970,"06 Jun 1970 - 16:00 ",Group 4,Nou Camp - Estadio Le�n,"Leon ",Peru,3,0,Morocco," "
1970,"06 Jun 1970 - 16:00 ",Group 3,Jalisco,"Guadalajara ",Romania,2,1,Czechoslovakia," "
1970,"06 Jun 1970 - 16:00 ",Group 1,Estadio Azteca,"Mexico City ",Soviet Union,4,1,Belgium," "
1970,"07 Jun 1970 - 12:00 ",Group 2,Luis Dosal,"Toluca ",Sweden,1,1,Israel," "
1970,"07 Jun 1970 - 12:00 ",Group 4,Nou Camp - Estadio Le�n,"Leon ",Germany FR,5,2,Bulgaria," "
1970,"07 Jun 1970 - 12:00 ",Group 3,Jalisco,"Guadalajara ",Brazil,1,0,England," "
1970,"07 Jun 1970 - 12:00 ",Group 1,Estadio Azteca,"Mexico City ",Mexico,4,0,El Salvador," "
1970,"10 Jun 1970 - 16:00 ",Group 2,Cuauhtemoc,"Puebla ",Sweden,1,0,Uruguay," "
1970,"10 Jun 1970 - 16:00 ",Group 4,Nou Camp - Estadio Le�n,"Leon ",Germany FR,3,1,Peru," "
1970,"10 Jun 1970 - 16:00 ",Group 3,Jalisco,"Guadalajara ",Brazil,3,2,Romania," "
1970,"10 Jun 1970 - 16:00 ",Group 1,Estadio Azteca,"Mexico City ",Soviet Union,2,0,El Salvador," "
1970,"11 Jun 1970 - 16:00 ",Group 2,Luis Dosal,"Toluca ",Italy,0,0,Israel," "
1970,"11 Jun 1970 - 16:00 ",Group 4,Nou Camp - Estadio Le�n,"Leon ",Bulgaria,1,1,Morocco," "
1970,"11 Jun 1970 - 16:00 ",Group 3,Jalisco,"Guadalajara ",England,1,0,Czechoslovakia," "
1970,"11 Jun 1970 - 16:00 ",Group 1,Estadio Azteca,"Mexico City ",Mexico,1,0,Belgium," "
1970,"14 Jun 1970 - 12:00 ",Quarter-finals,Luis Dosal,"Toluca ",Italy,4,1,Mexico," "
1970,"14 Jun 1970 - 12:00 ",Quarter-finals,Nou Camp - Estadio Le�n,"Leon ",Germany FR,3,2,England,"Germany FR win after extra time "
1970,"14 Jun 1970 - 12:00 ",Quarter-finals,Jalisco,"Guadalajara ",Brazil,4,2,Peru," "
1970,"14 Jun 1970 - 12:00 ",Quarter-finals,Estadio Azteca,"Mexico City ",Uruguay,1,0,Soviet Union,"Uruguay win after extra time "
1970,"17 Jun 1970 - 16:00 ",Semi-finals,Jalisco,"Guadalajara ",Brazil,3,1,Uruguay," "
1970,"17 June 1970 - 16:00 ",Semi-finals,Estadio Azteca,"Mexico City ",Italy,4,3,Germany FR,"Italy win after extra time "
1970,"20 Jun 1970 - 16:00 ",Match for third place,Estadio Azteca,"Mexico City ",Germany FR,1,0,Uruguay," "
